 x,   y
   0.0000000000000000      ,   493.00000000000000     
   4.1666666666666664E-002 ,   490.48263871857750     
   8.3333333333333329E-002 ,   487.96527743715512     
  0.12500000000000000      ,   485.44791615573257     
  0.16666666666666666      ,   482.93055487431025     
  0.20833333333333331      ,   480.41319359288764     
  0.25000000000000000      ,   477.89583231146531     
  0.29166666666666663      ,   475.37847103004282     
  0.33333333333333331      ,   472.86110974862038     
  0.37500000000000000      ,   470.34374846719794     
  0.41666666666666663      ,   467.82638718577550     
  0.45833333333333331      ,   465.30902590435301     
  0.50000000000000000      ,   462.79166462293051     
  0.54166666666666663      ,   448.64235923768632     
  0.58333333333333326      ,   434.49305385244219     
  0.62500000000000000      ,   420.34374846719783     
  0.66666666666666663      ,   406.19444308195375     
  0.70833333333333326      ,   392.04513769670939     
  0.75000000000000000      ,   377.89583231146526     
  0.79166666666666663      ,   363.74652692622095     
  0.83333333333333326      ,   349.59722154097682     
  0.87500000000000000      ,   335.44791615573257     
  0.91666666666666663      ,   321.29861077048844     
  0.95833333333333326      ,   307.14930538524419     
   1.0000000000000000      ,   293.00000000000000     
